de,            de_forms,                                                                      en,             en_expanded,          irregular, freq_percentile, de_expanded, de_examples, en_examples
scheinen       ,scheinen     ;scheint          ;schien             ;hat#geschienen            ,shine          ,                     ,true, 0.5,,,
schelten       ,schelten     ;schilt           ;schalt             ;hat#gescholten            ,scold          ,                     ,true, 0.5,,,
scheren        ,scheren      ;schiert          ;schor              ;hat#geschoren             ,cut            ,                     ,true, 0.5,,,
schieben       ,schieben     ;schiebt          ;schob              ;hat#geschoben             ,move           ,                     ,true, 0.5,,,
schießen       ,schießen     ;schießt          ;schoss             ;hat#geschossen            ,shoot          ,                     ,true, 0.5,,,
schlafen       ,schlafen     ;schläft          ;schlief            ;hat#geschlafen            ,sleep          ,                     ,true, 0.5,,,
schlagen       ,schlagen     ;schlägt          ;schlug             ;hat#geschlagen            ,beat           ,                     ,true, 0.5,,,
schleichen     ,schleichen   ;schleicht        ;schlich            ;ist#geschlichen           ,sneak          ,                     ,true, 0.5,,,
schleifen      ,schleifen    ;schleift         ;schliff            ;hat#geschliffen           ,sharpen        ,                     ,true, 0.5,,,
schließen      ,schließen    ;schließt         ;schloss            ;hat#geschlossen           ,close          ,                     ,true, 0.5,,,
schlingen      ,schlingen    ;schlingt         ;schlang            ;hat#geschlungen           ,wrap           ,                     ,true, 0.5,,,
schmeißen      ,schmeißen    ;schmeißt         ;schmiss            ;hat#geschmissen           ,throw          ,                     ,true, 0.5,,,
schmelzen      ,schmelzen    ;schmilzt         ;schmolz            ;hat/ist#geschmolzen       ,melt           ,                     ,true, 0.5,,,
schneiden      ,schneiden    ;schneidet        ;schnitt            ;hat#geschnitten           ,cut            ,                     ,true, 0.5,,,
schreiben      ,schreiben    ;schreibt         ;schrieb            ;hat#geschrieben           ,write          ,                     ,true, 0.5,,,
schreien       ,schreien     ;schreit          ;schrie             ;hat#geschrien             ,scream         ,                     ,true, 0.5,,,
schreiten      ,schreiten    ;schreitet        ;schritt            ;ist#geschritten           ,stride         ,                     ,true, 0.5,,,
schweigen      ,schweigen    ;schweigt         ;schwieg            ;hat#geschwiegen           ,remain#silent  ,                     ,true, 0.5,,,
schwellen      ,schwellen    ;schwillt         ;schwoll            ;ist#geschwollen           ,swell          ,                     ,true, 0.5,,,
schwimmen      ,schwimmen    ;schwimmt         ;schwamm            ;ist#geschwommen           ,swim           ,                     ,true, 0.5,,,
schwinden      ,schwinden    ;schwindet        ;schwand            ;ist#geschwunden           ,dwindle/fade   ,                     ,true, 0.5,,,
